1090
Yegoryevsk 8	Krasnoarmeysk 31 Roslavl 23 Abakan 154 Plast 184 Nolinsk 28 Novosil 168 Zeya 134 MariinskyPosad 54 
Magadan 8	Belinsky 100 Chekalin 112 Dmitrovsk 83 VerkhnyUfaley 14 Sayansk 92 Kondopoga 89 Mogocha 82 Zlatoust 109 
Istra 4	Sterlitamak 124 Dimitrovgrad 140 Solikamsk 129 Kologriv 56 
Artyomovsky 8	Bratsk 25 Borisoglebsk 22 Labinsk 25 Puchezh 85 Svetly 20 Lipki 99 Dudinka 125 Baymak 165 
Belinsky 10	Sychyovka 116 Yuzhno-Sukhokumsk 93 Krasnogorsk 103 Nyurba 89 Abaza 85 SovetskayaGavan 132 Magadan 100 Alexandrov 83 Tuymazy 151 Kuvandyk 61 
Ramenskoye 8	Ust-Katav 158 Makhachkala 95 Zheleznogorsk-Ilimsky 142 Belousovo 24 Arkadak 116 KrasnyKut 62 Kogalym 120 Uglegorsk 169 
Kamyshlov 7	Kirov 33 KrasnyKholm 171 Kirovgrad 185 Yakhroma 111 Obninsk 27 Svetlograd 194 Vysokovsk 195 
Kondrovo 5	Koryazhma 72 Kimry 58 Chyormoz 139 Kubinka 30 Usman 143 
Shadrinsk 9	Kotelnikovo 26 Borisoglebsk 117 Sengiley 55 Soligalich 79 Rostov 144 Digora 179 Spassk 169 Yugorsk 22 Alexandrovsk 56 
Georgiyevsk 10	Karabanovo 17 Oktyabrsky 138 Sertolovo 97 Tikhoretsk 155 Bronnitsy 71 Krasavino 107 Gorno-Altaysk 90 Shchigry 173 Krymsk 191 Kushva 109 
Kiselyovsk 7	Chudovo 27 Totma 88 Kazan 73 Novoaltaysk 148 ZapadnayaDvina 67 Kamenka 36 Dimitrovgrad 35 
Labytnangi 9	Zaozyorsk 191 Makarov 13 Ostrogozhsk 138 Kurilsk 81 Alexandrovsk-Sakhalinsky 164 VelikyUstyug 17 Zhukov 82 Lyubertsy 102 Kaluga 63 
Svetlogorsk 10	Shilka 164 Plyos 33 Yaransk 26 Korablino 20 Norilsk 19 Vsevolozhsk 26 Korablino 139 Serafimovich 104 Pytalovo 65 Rudnya 106 
Svetlograd 12	Laishevo 21 Shakhty 51 Urzhum 34 Davlekanovo 91 Kizel 50 Kamyshlov 194 Seversk 40 Pushchino 125 Zavolzhsk 181 Usinsk 177 Tver 147 Tynda 46 
Lgov 8	Tomari 31 Nikolsk 177 Korocha 12 Povorino 85 Nartkala 141 Gatchina 134 Kogalym 153 Primorsko-Akhtarsk 182 
Kimry 6	Usolye-Sibirskoye 186 Shenkursk 171 Yoshkar-Ola 74 Vysotsk 74 Kondrovo 58 Novorossiysk 108 
Luza 7	Kachkanar 137 Komsomolsk-on-Amur 98 Ilansky 183 Buy 107 Svetly 109 Nyagan 134 Podolsk 60 
Pyt-Yakh 10	Korablino 21 Rasskazovo 93 Morshansk 200 Gubkinsky 79 Birsk 54 Cheremkhovo 106 Kuznetsk 191 Kropotkin 74 Pokhvistnevo 176 Kemerovo 10 
Uzhur 5	Novosokolniki 191 Rodniki 124 Nikolayevsk 194 Petropavlovsk-Kamchatsky 73 Kyzyl 186 
Lyubim 5	Vereshchagino 155 Zelenogorsk 86 Rtishchevo 66 Novokubansk 14 Leninsk-Kuznetsky 75 
Tryokhgorny 6	Kovrov 41 Novokuybyshevsk 145 Safonovo 119 Verkhoturye 79 Pytalovo 147 Kineshma 170 
Shchigry 8	Sosnovka 16 Kashin 169 Megion 198 Georgiyevsk 173 Volzhsky 116 Kashin 75 Kupino 133 Ust-Ilimsk 190 
Kubinka 11	Rudnya 111 Velizh 55 Kharovsk 117 Irkutsk 108 Azov 142 Kondrovo 30 Shumerlya 143 Buinsk 23 Iskitim 30 Uren 118 Pestovo 92 
Arkhangelsk 5	Krasnoturyinsk 158 Chebarkul 143 Beslan 188 VelikiyeLuki 57 Kolomna 92 
Sevsk 5	Marks 74 Korablino 113 Agidel 34 Adygeysk 118 Yekaterinburg 47 
Mozhaysk 8	Krasnozavodsk 16 Nartkala 69 Novozybkov 71 Khanty-Mansiysk 27 Bologoye 130 Yessentuki 191 Tatarsk 119 Novokuybyshevsk 19 
Shagonar 8	VerkhnyTagil 150 Rasskazovo 154 Meshchovsk 67 Makhachkala 133 Dzerzhinsk 123 Rezh 160 Khotkovo 150 Derbent 130 
Krasnovishersk 12	Yuzha 171 Udachny 74 Neftekumsk 18 Ishim 73 Karpinsk 129 NovayaLyalya 184 Bogoroditsk 160 Gulkevichi 49 Mezhgorye 86 Inta 169 Zheleznodorozhny 169 Donskoy 82 
Shelekhov 4	Saratov 184 Tuapse 12 Gusinoozyorsk 48 Chaykovsky 170 
Beloretsk 7	Balashikha 99 Gukovo 144 Suzdal 120 Elektrogorsk 95 ZapadnayaDvina 22 Uyar 30 Bolotnoye 100 
Korkino 11	Nevelsk 107 Osa 101 Drezna 184 Zelenograd 108 Ust-Katav 88 Chukhloma 32 Polevskoy 25 Vereshchagino 153 Sychyovka 51 Saransk 75 Yekaterinburg 59 
Kokhma 12	Novoulyanovsk 20 Povorino 155 Argun 104 Zmeinogorsk 136 Seversk 90 Saransk 65 Kulebaki 70 Sortavala 110 Krasnokamsk 80 Sosensky 85 Monchegorsk 10 Kirishi 88 
Alexandrov 11	Belinsky 83 Aleksin 18 Udomlya 90 Plast 145 Nevelsk 195 Beslan 146 Yermolino 160 Zernograd 89 Bobrov 159 Davlekanovo 85 Gadzhiyevo 30 
Gusev 6	Artyomovsk 193 Insar 175 Gornozavodsk 141 Perevoz 102 Slavgorod 181 Atkarsk 78 
Balakhna 4	Rubtsovsk 185 Maysky 180 Boksitogorsk 187 Neryungri 39 
Topki 5	Venyov 44 Olenegorsk 12 Gorbatov 106 Ozherelye 109 Oktyabrsky 32 
Poronaysk 7	Kargopol 160 Sharypovo 141 Severomorsk 107 Bikin 14 Khilok 12 Mirny 107 Zaraysk 32 
Khilok 9	Irbit 76 Safonovo 19 Poronaysk 12 Khasavyurt 178 Murashi 144 Urus-Martan 184 Rubtsovsk 33 Severodvinsk 42 Krasnouralsk 61 
Syktyvkar 9	Manturovo 103 Baksan 105 Sukhinichi 77 Nyandoma 27 Kusa 150 Mglin 155 Srednekolymsk 43 Krasnodar 188 Sarov 143 
Anzhero-Sudzhensk 9	Ukhta 200 Belyov 144 NovyOskol 15 Kyzyl 81 Bronnitsy 102 Kudymkar 65 KrasnyKholm 159 Novocherkassk 189 Liski 84 
Gvardeysk 10	Dedovsk 127 Suoyarvi 183 Pytalovo 188 Udomlya 44 Vorkuta 158 Grayvoron 168 Balabanovo 127 Amursk 97 Kolpino 95 Orekhovo-Zuyevo 172 
Otradny 3	Seversk 99 Kropotkin 179 Gubkin 67 
Pyatigorsk 3	Maloyaroslavets 20 KrasnyKut 194 Zvenigovo 13 
Chapayevsk 6	Mezhgorye 103 Chernogorsk 22 Dankov 113 Yemva 35 Salair 94 Berezovsky 151 
Beslan 4	Millerovo 107 Arkhangelsk 188 Alexandrov 146 Engels 130 
Shenkursk 9	Dyurtyuli 45 Perm 28 SovetskayaGavan 193 Domodedovo 167 Neya 65 Berezovsky 138 Kimry 171 Rossosh 72 Leninsk-Kuznetsky 190 
Serpukhov 3	Kulebaki 170 Cheremkhovo 78 Bogotol 25 
Navashino 5	Chelyabinsk 92 Mglin 135 Lyantor 176 Segezha 134 Priozersk 28 
Salavat 11	Serdobsk 176 Protvino 164 Balabanovo 60 Zelenogradsk 116 Rtishchevo 95 Lyantor 141 Adygeysk 73 Udomlya 170 Yermolino 195 Penza 158 StarayaRussa 149 
Lyubertsy 11	Kireyevsk 76 Polyarny 56 Degtyarsk 89 SergiyevPosad 129 Labytnangi 102 Kargat 30 Noyabrsk 60 Petropavlovsk-Kamchatsky 155 Zakamensk 115 Rudnya 132 NizhnyayaTura 57 
Borovsk 8	Yemanzhelinsk 83 Mglin 115 Kislovodsk 108 Kamennogorsk 198 GoryachyKlyuch 19 Menzelinsk 64 Primorsk 163 Kumertau 141 
Velsk 11	Novodvinsk 114 Kotovsk 137 Manturovo 112 Svetly 94 Pokrov 169 Kronstadt 63 Magnitogorsk 103 Anapa 108 Neftekumsk 14 Voskresensk 104 Malmyzh 110 
Tuymazy 9	Belinsky 151 Oktyabrsk 159 Kartaly 44 Salsk 19 Nizhnekamsk 73 Dobryanka 91 Atkarsk 82 Vidnoye 177 Onega 180 
Podolsk 7	Penza 55 Elektrostal 134 Luza 60 Surovikino 194 Zhukovka 44 Kola 149 Buinsk 73 
Marks 4	Alatyr 145 Kozmodemyansk 101 Sevsk 74 Kostomuksha 21 
Vorsma 9	Nakhodka 33 Achinsk 52 Barnaul 103 Serafimovich 194 Zhukov 92 Komsomolsk-on-Amur 93 Zainsk 80 Davlekanovo 200 Kizlyar 159 
Turinsk 4	Gryazovets 62 Beloyarsky 121 Tutayev 16 Kurtamysh 23 
Otradnoye 9	Kirs 191 Ussuriysk 127 Serov 142 Yelets 43 Mirny 15 Mikhaylovsk 25 Menzelinsk 76 Kurganinsk 99 Sudzha 179 
Kropotkin 9	Cherkessk 75 Mytishchi 111 Sudogda 113 BelayaKholunitsa 117 Pyt-Yakh 74 Arkadak 81 Unecha 21 Otradny 179 Zvenigovo 154 
Vsevolozhsk 11	Kaliningrad 145 Orekhovo-Zuyevo 52 Tommot 121 Alzamay 146 Morozovsk 175 Pustoshka 49 Yuryev-Polsky 154 Digora 60 Gagarin 171 Peresvet 190 Svetlogorsk 26 
Asino 6	Artyomovsk 125 PetrovVal 140 Gorno-Altaysk 38 Kozlovka 151 Kodinsk 74 Kineshma 140 
Tavda 11	Kurilsk 187 Yoshkar-Ola 112 Achinsk 29 Yemanzhelinsk 17 Bor 20 Kirishi 199 Volkhov 193 Tikhoretsk 179 Naryan-Mar 40 Tomari 149 Lebedyan 179 
Tsimlyansk 9	Kizel 11 Nelidovo 11 Yadrin 169 NizhniyeSergi 67 Norilsk 56 Shuya 166 Tomsk 154 Pskov 45 NovyUrengoy 87 
Zima 18	Rzhev 55 Nikolayevsk-on-Amur 11 Pokrovsk 30 Znamensk 190 Kovylkino 143 Kirovo-Chepetsk 114 Engels 176 Pokachi 140 Kislovodsk 96 Kirs 35 Zheleznovodsk 163 Polessk 25 Khabarovsk 153 Manturovo 135 Tarusa 91 Spassk 187 Pudozh 106 Nazarovo 164 
Yartsevo 3	Kargopol 131 GavrilovPosad 159 Mikhaylov 87 
Ardon 5	Dalnegorsk 196 Vereya 83 Luga 187 VyatskiyePolyany 70 Zheleznodorozhny 161 
Kamyshin 12	Belebey 157 Gorodets 198 Anapa 51 Uvarovo 15 Sudogda 48 Andreapol 193 Lukhovitsy 18 Pervouralsk 145 Rodniki 178 Ussuriysk 40 Krasnoufimsk 138 Tomsk 180 
Zelenokumsk 4	Kozlovka 84 Shchyolkovo 144 Glazov 59 Osa 79 
Usolye 8	Oktyabrsk 121 Sayanogorsk 24 Sobinka 16 Borisoglebsk 44 Vereya 105 Cherdyn 122 GavrilovPosad 182 Yaransk 52 
Likino-Dulyovo 2	Rostov-on-Don 87 Sysert 54 
Shilka 8	Shikhany 38 Cheboksary 54 Nerekhta 145 Yarovoye 175 Cherdyn 137 Novomoskovsk 18 Svetlogorsk 164 Kaluga 172 
Novokuznetsk 7	Kulebaki 45 Belogorsk 112 Mezen 99 Mikhaylovka 190 Sengiley 164 Korablino 87 Mikhaylov 30 
Dmitriyev 7	Kozlovka 154 Gryazovets 155 Gryazi 75 Yemva 54 Suzdal 90 Ulyanovsk 55 Kalininsk 110 
Maloarkhangelsk 14	Zheleznogorsk-Ilimsky 69 Yessentuki 105 Kamensk-Shakhtinsky 11 Novokubansk 167 Gdov 158 Arkadak 75 Bolkhov 63 Zlynka 109 Gorbatov 11 Kasli 78 Tyukalinsk 177 Sarov 101 Primorsko-Akhtarsk 17 Kansk 32 
Zheleznogorsk-Ilimsky 5	Tobolsk 14 Arkadak 186 Gorno-Altaysk 147 Ramenskoye 142 Maloarkhangelsk 69 
Manturovo 14	Zima 135 Abakan 151 Dimitrovgrad 147 Yanaul 97 Glazov 39 Solnechnogorsk 177 Komsomolsk 36 Syktyvkar 103 Velsk 112 Karachev 108 Rudnya 116 Kuybyshev 41 Valday 178 Volosovo 152 
Pochep 7	Ozyorsk 122 Sayansk 171 Bavly 154 VelikyUstyug 44 Baymak 46 Kharovsk 34 NovyUrengoy 175 
Yeysk 9	KrasnySulin 42 Ust-Katav 110 Slantsy 60 Kolomna 72 Skovorodino 46 Kotelniki 96 Svirsk 100 Suvorov 96 Gorodovikovsk 118 
Shakhtyorsk 7	Arsenyev 180 Alexandrovsk 193 Rybinsk 10 Bobrov 26 Kommunar 25 Znamensk 123 Korolyov 196 
Solikamsk 4	Yarovoye 177 Istra 129 Ust-Kut 200 Votkinsk 35 
Voronezh 7	Sortavala 16 Digora 69 Ozherelye 173 Dankov 199 Zverevo 65 Chelyabinsk 142 Lesozavodsk 102 
Polyarny 5	Volgorechensk 147 Lyubertsy 56 Karachev 69 Losino-Petrovsky 178 Suvorov 142 
Kostomuksha 8	Pochinok 196 Kaluga 45 Dolinsk 117 Marks 21 Zverevo 188 Okha 40 Kedrovy 36 Mariinsk 200 
Zhukovka 6	Polessk 10 Severo-Kurilsk 154 Achinsk 197 Podolsk 44 Terek 161 Vyazma 99 
Sterlitamak 6	Nevyansk 119 Shuya 108 Chekhov 130 Istra 124 Zelenograd 22 Tulun 155 
Povorino 13	Ryazan 145 Vysotsk 200 Kotelnikovo 118 Pytalovo 126 Seltso 132 Pushchino 36 Yeniseysk 133 Sarapul 75 Gryazi 103 Noginsk 112 Lgov 85 Kokhma 155 Bolgar 83 
Kommunar 9	NizhniyeSergi 148 Shakhtyorsk 25 Atkarsk 39 Stavropol 80 Chyormoz 57 Neman 16 MalayaVishera 13 Kstovo 137 Yasny 200 
PavlovskyPosad 6	Zheleznogorsk 164 BelayaKholunitsa 12 Sengiley 37 Birobidzhan 190 Tynda 168 Yasny 43 
Kovrov 8	Gadzhiyevo 126 Kargopol 60 Novokhopyorsk 120 Tryokhgorny 41 Chegem 56 Nikolskoye 68 BelayaKalitva 82 Severodvinsk 103 
Lytkarino 7	Morozovsk 58 Anapa 79 Ivangorod 162 Shimanovsk 196 Novotroitsk 200 Yurga 164 Naro-Fominsk 18 
Kharabali 7	Nazyvayevsk 193 Shakhunya 27 MariinskyPosad 99 Zaozyorny 133 Oktyabrsky 113 Adygeysk 140 Nakhodka 42 
Dankov 9	Babushkin 200 Novomichurinsk 149 Kadnikov 55 Lensk 19 Bobrov 98 Domodedovo 136 Chapayevsk 113 Voronezh 199 Korenovsk 28 
Novouralsk 6	Toguchin 114 Bogdanovich 19 Kameshkovo 189 VyatskiyePolyany 114 Volsk 24 Sorochinsk 32 
Adygeysk 9	Yefremov 104 Novoaltaysk 197 Sevsk 118 Valuyki 123 Kharabali 140 Shakhunya 23 Pallasovka 167 Salavat 73 Dubovka 44 
Krymsk 7	Medvezhyegorsk 44 Georgiyevsk 191 Kursk 42 Bologoye 57 Poshekhonye 160 Barabinsk 47 Moskovsky 39 
Sychyovka 14	Korkino 51 Baltiysk 61 Zakamensk 30 Gorokhovets 122 Maysky 171 Oryol 28 Myski 20 Shchyolkovo 66 Yasnogorsk 122 Pravdinsk 159 Belinsky 116 Lesnoy 79 Novovoronezh 199 Dobryanka 124 
Pytalovo 11	Kargopol 30 Svetlogorsk 65 Tryokhgorny 147 Yuzha 12 Gdov 96 Tarusa 24 NizhnyLomov 23 Gvardeysk 188 Povorino 126 Lermontov 145 Tyukalinsk 105 
Soligalich 7	Bolotnoye 191 Drezna 141 Bagrationovsk 76 ZapadnayaDvina 147 Shadrinsk 79 Leninogorsk 184 Bavly 161 
Vysokovsk 6	Kamyshlov 195 Salair 32 Leninsk-Kuznetsky 81 Novosibirsk 62 Bugulma 173 Kotelnich 50 
Sosensky 9	Irkutsk 37 Pervouralsk 59 Klimovsk 68 Kokhma 85 Kurovskoye 157 Karabash 194 Sokol 111 VyatskiyePolyany 55 Dobryanka 45 
Balashikha 10	Achinsk 165 Domodedovo 157 Arzamas 94 Inza 101 Pushkino 62 Bryansk 22 Digora 94 Vidnoye 107 Beloretsk 99 Belomorsk 167 
Semiluki 7	Teykovo 193 Ufa 45 Kirensk 84 Kingisepp 72 Strezhevoy 178 Suvorov 52 Kalachinsk 176 
Lesnoy 7	Sychyovka 79 Frolovo 118 Sengiley 43 Shatsk 76 Uglich 110 Votkinsk 39 Perevoz 29 
Pikalyovo 6	Shimanovsk 55 Obninsk 188 Buturlinovka 38 Vidnoye 136 Baley 69 Olonets 114 
Ochyor 5	Artyom 163 Gagarin 87 Kogalym 24 Biryuch 171 Kirishi 190 
Novouzensk 3	Frolovo 98 Lyudinovo 133 Primorsk 42 
Chegem 6	Kovrov 56 BelayaKalitva 20 Syasstroy 63 Khanty-Mansiysk 150 Klin 63 Sretensk 165 
Innopolis 8	Kirovsk 101 Makushino 63 Vilyuchinsk 14 Lensk 22 Kargat 127 Yaroslavl 160 Toropets 86 Kurlovo 141 
Novozybkov 8	Obluchye 108 Mezen 192 Tuapse 181 Kanash 82 Komsomolsk 128 Mozhaysk 71 Grozny 130 Belomorsk 175 
Leninogorsk 13	Ryazhsk 180 Chadan 44 Lermontov 190 Bogotol 33 Morshansk 42 Soligalich 184 Tynda 55 Lakinsk 102 KrasnySulin 45 Aznakayevo 85 Chernushka 125 NovyOskol 165 Podporozhye 57 
Saransk 10	Korkino 75 Yuryevets 74 BolshoyKamen 112 Yukhnov 112 Norilsk 26 Sergach 74 Novocheboksarsk 165 Amursk 129 Kokhma 65 Makarov 142 
Oktyabrsk 5	Yekaterinburg 132 Salekhard 78 Tuymazy 159 Usolye 121 Sosnovoborsk 200 
Sengiley 9	PavlovskyPosad 37 Lesnoy 43 Kamyzyak 148 Langepas 199 Kirensk 167 Novokuznetsk 164 Knyaginino 33 Shadrinsk 55 Bolkhov 102 
Monchegorsk 8	Kokhma 10 Yakhroma 115 Yessentuki 40 Tyrnyauz 78 Ryazhsk 122 Shcherbinka 182 Ostashkov 173 GavrilovPosad 161 
Porkhov 7	Tarko-Sale 163 Chyormoz 98 Desnogorsk 167 Gremyachinsk 68 Belogorsk 180 Yelabuga 138 Balashov 47 
Bavly 13	Kaspiysk 103 Soligalich 161 Klimovsk 55 Gdov 189 Timashyovsk 43 Ruzayevka 30 Nazran 74 Pochep 154 Nikolskoye 189 Barnaul 84 Rylsk 168 Kosteryovo 81 Chulym 10 
Babushkin 7	Borisoglebsk 165 Bogorodsk 87 Balabanovo 179 Dankov 200 Belorechensk 154 Zakamensk 44 Dorogobuzh 120 
Millerovo 8	Krasnoufimsk 26 Volgograd 176 Blagoveshchensk 191 Penza 11 Desnogorsk 33 Melenki 31 Borzya 10 Beslan 107 
Zelenogorsk 10	Terek 95 Budyonnovsk 93 Baykalsk 112 Sertolovo 122 Venyov 22 Obluchye 23 Spas-Klepiki 22 Lyubim 86 Proletarsk 18 Nevel 83 
Olyokminsk 3	Staritsa 136 Oktyabrsky 56 Lyudinovo 61 
Srednekolymsk 8	Sosnovoborsk 31 Dudinka 107 Nizhnekamsk 164 Grozny 82 Sosnovka 15 Syktyvkar 43 Vilyuysk 123 Polevskoy 96 
Krasnodar 8	Kotovsk 78 Belogorsk 95 Syktyvkar 188 Sokolniki 104 Nizhneudinsk 91 Novosibirsk 162 Gavrilov-Yam 127 Krasnozavodsk 119 
Aramil 9	NovyOskol 134 Pravdinsk 145 Ilansky 164 Sukhinichi 197 Chukhloma 119 Gelendzhik 45 Nevel 99 Stupino 185 Udachny 123 
Bogoroditsk 12	Korablino 65 Yuryuzan 41 Kotovsk 192 Krasnovishersk 160 Tomari 52 Mezen 165 Lakinsk 131 Pavlovsk 32 Gornyak 136 Nyagan 177 VerkhnyayaTura 126 Vladikavkaz 167 
Mosalsk 9	Irkutsk 173 Andreapol 163 Tosno 24 Medyn 134 Spas-Demensk 122 NovyOskol 19 Kizlyar 93 Primorsk 55 Osinniki 68 
Irkutsk 7	Berdsk 130 Taganrog 160 Kubinka 108 Sosensky 37 Mosalsk 173 Tver 146 Sim 24 
Birobidzhan 3	Zelenogradsk 149 PavlovskyPosad 190 Krasnokamensk 54 
Tomari 9	Tavda 149 Kholmsk 132 Bodaybo 155 Yugorsk 52 Troitsk 130 Isilkul 78 Lgov 31 Bogoroditsk 52 Vesyegonsk 183 
Makarov 13	Nizhnevartovsk 26 Saransk 142 Borovichi 59 Semikarakorsk 122 Berdsk 17 Ust-Katav 37 Golitsyno 165 Novotroitsk 144 Snezhinsk 145 Labytnangi 13 Yubileyny 123 Sosnovoborsk 132 Bely 135 
Petropavlovsk-Kamchatsky 10	Nelidovo 49 NizhnyayaSalda 42 Zlynka 73 Bogdanovich 53 Lyubertsy 155 Uzhur 73 Yeniseysk 73 Maloyaroslavets 27 Ozyorsk 185 Nazyvayevsk 58 
Uzlovaya 4	Yubileyny 66 Shakhty 115 Korocha 84 Tsivilsk 77 
Kaluga 9	MariinskyPosad 192 Verkhneuralsk 131 Labytnangi 63 Shilka 172 Rodniki 82 Slantsy 167 Makhachkala 42 Kostomuksha 45 Mikun 149 
VerkhnyayaSalda 3	Orlov 71 Barysh 200 Poshekhonye 154 
KrasnyKut 9	Ramenskoye 62 Cheremkhovo 156 Pyatigorsk 194 Stavropol 34 Sertolovo 42 Mglin 179 Gubkin 91 Shlisselburg 42 Drezna 122 
Kingisepp 6	Novopavlovsk 40 Toropets 180 Semiluki 72 Novoalexandrovsk 55 Kushva 168 Elektrougli 28 
Barabinsk 6	Krymsk 47 Sudogda 20 Aleksin 57 Rybnoye 51 Spas-Demensk 165 Ardatov 121 
Gulkevichi 9	Usman 61 Tobolsk 161 Berdsk 147 Krasnovishersk 49 Tara 175 Kirov 133 Chyormoz 45 Neman 125 Biysk 146 
Murmansk 5	Slavyansk-na-Kubani 82 Dolinsk 196 Zelenodolsk 113 Kirensk 135 Zubtsov 182 
Baymak 9	Mikhaylov 67 Rylsk 197 Sovetsk 146 Artyomovsky 165 Kirzhach 47 Petrozavodsk 166 Pochep 46 Pechory 142 Stupino 26 
Volzhsk 11	Megion 191 StarayaRussa 94 Kamyzyak 166 Kalininsk 89 Ust-Labinsk 114 Yasnogorsk 17 Novocheboksarsk 186 Nikolayevsk-on-Amur 111 Verkhoturye 171 Yubileyny 58 Krasnoyarsk 184 
Nadym 5	Ust-Katav 185 Sosnovka 38 Ivdel 77 Dyatkovo 134 Laishevo 116 
Odintsovo 6	Sosnovka 179 Sergach 69 Spas-Klepiki 41 Kameshkovo 113 Kedrovy 88 Pokrovsk 66 
Onega 6	Tuymazy 180 Omsk 21 Protvino 140 Pskov 135 Slavgorod 14 Biryuch 37 
Argun 5	Pushkin 27 Kemerovo 65 Ust-Labinsk 12 Kokhma 104 Znamensk 193 
Mamadysh 8	Kstovo 123 Severodvinsk 44 Bratsk 98 Bataysk 85 Belebey 136 Gusinoozyorsk 160 Safonovo 22 Kharovsk 109 
Dyurtyuli 10	Uglich 125 Gubkin 182 Kurovskoye 97 Iskitim 132 Lipetsk 163 Yoshkar-Ola 147 Zverevo 199 Alapayevsk 163 Shenkursk 45 Yaransk 118 
Izberbash 11	Sosnogorsk 148 Baley 118 Yemanzhelinsk 187 Kamenka 195 Kamensk-Shakhtinsky 39 Tula 86 Mirny 101 Puchezh 75 Khvalynsk 191 Ust-Kut 70 Korenovsk 74 
Raychikhinsk 4	Zvenigorod 151 Shuya 110 Divnogorsk 197 Shlisselburg 117 
Pechory 6	Kamenka 190 Bratsk 170 Belovo 32 Baymak 142 Cheremkhovo 147 Shali 113 
VerkhnyayaTura 6	SaintPetersburg 184 Sorochinsk 194 Bogoroditsk 126 Dolgoprudny 195 Korenovsk 164 Makaryev 157 
Luga 9	Bugulma 169 Ardon 187 Borodino 125 Irbit 56 Yurga 175 Dolinsk 180 Rasskazovo 41 Dorogobuzh 35 Tulun 174 
Pechora 12	Amursk 68 Yessentuki 140 Okhansk 36 Knyaginino 10 Sredneuralsk 76 Kineshma 193 Sebezh 151 Kotlas 183 KrasnoyeSelo 86 Salair 98 Pskov 160 Primorsk 138 
Cheboksary 3	Desnogorsk 87 Shilka 54 Mogocha 56 
Borodino 7	Dyatkovo 180 BelayaKholunitsa 30 Karpinsk 66 MineralnyeVody 39 Budyonnovsk 37 Luga 125 Rudnya 110 
Shakhty 13	Yurga 176 Lesozavodsk 80 Kursk 107 Plast 36 Kinel 13 Volokolamsk 156 Soltsy 86 Polevskoy 83 Pestovo 199 Svetlograd 51 Uzlovaya 115 Chkalovsk 39 Inza 20 
Lesosibirsk 6	Abaza 14 Staritsa 82 Ulan-Ude 81 Borzya 35 Norilsk 41 Snezhinsk 51 
Kuvandyk 5	NizhnyayaTura 54 Belinsky 61 Salsk 182 Orenburg 179 Ipatovo 66 
Kandalaksha 7	Zakamensk 127 Kaspiysk 55 Yeniseysk 194 NizhnyNovgorod 61 Komsomolsk 135 Moscow 161 StarayaRussa 187 
Belovo 10	GoryachyKlyuch 44 Sorochinsk 110 Nevinnomyssk 80 Kozlovka 35 Novomoskovsk 109 Kozmodemyansk 82 Kurgan 80 Pechory 32 Dorogobuzh 182 Kotelnich 37 
Danilov 8	Kolpashevo 146 Vladikavkaz 76 Gubakha 71 Ishimbay 32 Meleuz 94 Svirsk 33 Mezhgorye 126 Vyborg 151 
Bogorodsk 8	Samara 157 Meleuz 172 Bolokhovo 36 Kalyazin 134 Kotelnikovo 74 Karabanovo 109 Babushkin 87 Kirillov 34 
Mezhgorye 9	Spas-Demensk 49 Krasnovishersk 86 Danilov 126 Yuryev-Polsky 49 Ertil 52 Agryz 42 Chapayevsk 103 Kolpino 11 Dmitrovsk 59 
Balashov 7	Porkhov 47 Ryazan 109 Yermolino 82 Lakinsk 32 Gorodets 112 Kirillov 170 Chernyakhovsk 52 
Pevek 9	Yuzha 18 Alapayevsk 12 Ardatov 68 Khabarovsk 92 Kedrovy 165 Orenburg 52 Zelenograd 134 Dobryanka 54 Krasnozavodsk 26 
Kulebaki 7	Mozhga 73 Nikolskoye 180 Teberda 26 Zverevo 186 Kokhma 70 Serpukhov 170 Novokuznetsk 45 
Derbent 12	Uglich 18 Slavsk 141 Ozherelye 134 Shagonar 130 Mezen 106 Yefremov 103 Gudermes 55 Sayanogorsk 16 Zhirnovsk 102 Korenovsk 191 Chaplygin 36 Kuybyshev 22 
Klin 7	Aznakayevo 60 Chegem 63 Kotlas 57 Kachkanar 34 Krasnokamsk 189 Chkalovsk 18 Gukovo 120 
Tula 12	Iskitim 82 Kalach 169 Abinsk 197 Beloyarsky 105 Petrozavodsk 46 Sochi 188 Buinsk 60 Sergach 175 Kurgan 197 Izberbash 86 Isilkul 156 Izhevsk 190 
Lobnya 7	Krasnoarmeysk 55 Shchuchye 15 Tommot 194 Tyumen 192 Surazh 141 Novopavlovsk 52 Yakhroma 122 
Maykop 9	Mogocha 94 Spassk-Ryazansky 165 Zaozyorny 103 Podporozhye 56 Barysh 45 Svetogorsk 17 Davlekanovo 41 Petrovsk-Zabaykalsky 83 Biysk 51 
Chelyabinsk 7	Voronezh 142 Biysk 102 Kirishi 59 Maloyaroslavets 198 Volsk 14 Navashino 92 Zaraysk 181 
Kusa 7	VelikyUstyug 127 Buy 57 Zavolzhsk 94 Roshal 107 Alzamay 56 Syktyvkar 150 Cherepanovo 83 
VyatskiyePolyany 10	Okhansk 86 Zavodoukovsk 35 Nerchinsk 21 Zherdevka 31 Ardon 70 Sosensky 55 Vladikavkaz 57 Khanty-Mansiysk 96 Anadyr 145 Novouralsk 114 
Krasnoarmeysk 7	Urus-Martan 47 Ladushkin 195 Yegoryevsk 31 Zeya 155 Amursk 165 Lobnya 55 Mozdok 100 
